,Unnamed: 0,Brand,Category,Product Name,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response,category,Polarity
313,330,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,chuacharissa,try refunding but they rejected.., 120 Classic Ivory,3,2019-10-13 18:49:00,no,product,0
316,333,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,kjs1200,fast delivery, 115 Ivory,5,2019-10-19 12:15:00,no,delivery,1
317,334,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,kjs1200,foundation came sealed, 115 Ivory,5,2019-10-19 12:15:00,no,product,1
318,335,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,kjs1200,good that it has a pump, 115 Ivory,5,2019-10-19 12:15:00,no,product,1
322,339,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,sixtymandy,delivery took way longer than expected for domestic delivery - more than 2 weeks, 115 Ivory,3,2019-09-28 13:53:00,no,delivery,-1
326,343,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,euniceephua,received in good condition, 120 Classic Ivory,5,2019-10-10 03:38:00,no,product,1
331,348,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,amaaanina,not bad shipping, 128 Warm Nude,5,2019-09-10 01:52:00,no,delivery,0
332,349,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,amaaanina,ordered on 2/9 received 9/9, 128 Warm Nude,5,2019-09-10 01:52:00,no,delivery,1
334,351,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,amaaanina,bottle is new and sealed, 128 Warm Nude,5,2019-09-10 01:52:00,no,product,1
338,355,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,edithcav0720,one of the quickest delivered item i ordered in shoppe, 220 Natural Beige,5,2019-09-20 21:48:00,no,delivery,1
339,356,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,edithcav0720,i got this in less than 2 days upon placing the order, 220 Natural Beige,5,2019-09-20 21:48:00,no,delivery,1
340,357,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,edithcav0720,so delighted with fast turnaround, 220 Natural Beige,5,2019-09-20 21:48:00,no,delivery,1
354,373,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,djannine,fast delivery, 222 True Beige,5,2019-10-02 23:30:00,no,delivery,1
355,374,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,darrenevanteo,item came as described, 128 Warm Nude,5,2019-09-25 06:05:00,no,product,1
356,375,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,darrenevanteo,very fast delivery, 128 Warm Nude,5,2019-09-25 06:05:00,no,delivery,1
357,376,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,darrenevanteo,packaging is safe., 128 Warm Nude,5,2019-09-25 06:05:00,no,product,1
358,377,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,anetan,product well packed with bubble bag, 222 True Beige,5,2019-09-09 13:04:00,no,product,1
360,379,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,anetan,good coverage nice colour tone, 222 True Beige,5,2019-09-09 13:04:00,no,product,1
362,381,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,anetan,skin feel refreshed, 222 True Beige,5,2019-09-09 13:04:00,no,product,1
363,382,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,anetan,good buy, 222 True Beige,5,2019-09-09 13:04:00,no,product,1
365,385,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,joankum,waited for more than 2 weeks to receive my item, 115 Ivory,3,2019-09-28 12:32:00,no,delivery,-1
368,388,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,janicelow1210,bought yesterday and received today, 115 Ivory,5,2019-09-04 22:56:00,no,delivery,1
370,390,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,janicelow1210,too yellow., 115 Ivory,5,2019-09-04 22:56:00,no,product,-1
379,400,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,andreatswizzle,received the following day, 120 Classic Ivory,5,2019-09-09 20:34:00,no,delivery,1
381,402,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,andreatswizzle,manufacturing date is 6 months ago, 120 Classic Ivory,5,2019-09-09 20:34:00,no,product,1
382,403,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,andreatswizzle,great seller, 120 Classic Ivory,5,2019-09-09 20:34:00,no,product,1
389,410,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,helloyellowbirdie,really fast delivery, 128 Warm Nude,5,2019-09-06 18:14:00,no,delivery,1
398,419,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,rachelwhe,looks more yellow toned in picture than in real life, 120 Classic Ivory,5,2019-09-09 19:10:00,no,product,-1
399,420,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,rachelwhe,delivery too awhile too, 120 Classic Ivory,5,2019-09-09 19:10:00,no,delivery,-1
403,424,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,yukihooxuefen,didnâ€™t get the free gift though, 220 Natural Beige,5,2019-09-06 10:28:00,no,product,-1
405,426,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,yandrag,"niceeeeeeeeeeeeeeeeeeee....
 worth itttttttttttttttttt....", 228 Soft Tan,5,2019-09-10 02:01:00,no,product,1
408,429,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,naivialyntalde,very fast., 128 Warm Nude,5,2019-09-09 22:53:00,no,delivery,1
409,430,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,naivialyntalde,and try pack properly ., 128 Warm Nude,5,2019-09-09 22:53:00,no,delivery,-1
410,431,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,naivialyntalde,i will order again, 128 Warm Nude,5,2019-09-09 22:53:00,no,product,1
411,432,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,yinwei.lee,order came in good condition in a bubble package, 220 Natural Beige,5,2019-09-03 22:14:00,no,delivery,1
412,433,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,yinwei.lee,thank you for the free bottles of makeup remover!, 220 Natural Beige,5,2019-09-03 22:14:00,no,product,1
413,434,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,shoppingmum,look like the one seen in guardian and watson, 310 Sun Beige,5,2019-09-05 21:46:00,no,product,0
414,435,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,shoppingmum,glad to buy it during the offer, 310 Sun Beige,5,2019-09-05 21:46:00,no,product,1
415,436,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,vulengoctram,"super fast delivery, within 2 days", 115 Ivory,5,2019-09-07 00:11:00,no,"delivery
",1
416,437,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,vulengoctram,quite matte and smooth, 115 Ivory,5,2019-09-07 00:11:00,no,product,1
417,438,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,vulengoctram,love it!, 115 Ivory,5,2019-09-07 00:11:00,no,product,1
418,439,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,hell123456,"good deal, just the foundation is transferable", 120 Classic Ivory,4,2019-09-22 20:20:00,no,product,1
419,440,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,hnyzj,bought the wrong shade :( its too dark :(, 220 Natural Beige,5,2019-09-17 12:26:00,no,product,-1
420,441,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,nazxoxo,fast delivery but disappointed that i did not receive the 3 bottles of makeup remover stated :(, 128 Warm Nude,4,2019-09-04 14:29:00,no,kiv,
421,442,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,maxine89,fast delivery, 120 Classic Ivory,5,2019-08-22 23:11:00,no,delivery,1
422,443,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,maxine89,come well packaged, 120 Classic Ivory,5,2019-08-22 23:11:00,no,delivery,1
423,444,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,maxine89,foundation has a pump, 120 Classic Ivory,5,2019-08-22 23:11:00,no,product,1
424,445,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,maxine89,finally, 120 Classic Ivory,5,2019-08-22 23:11:00,no,kiv,
425,446,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,cicilia181,super fast delivery, 222 True Beige,5,2019-09-10 21:21:00,no,delivery,1
426,447,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,farahhassan,love the product & came sealed neatly, 335 Classic Tan,5,2019-09-11 12:21:00,no,kiv,
427,448,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,farahhassan,thank you!, 335 Classic Tan,5,2019-09-11 12:21:00,no,kiv,
428,449,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,msamin87,good deal, 115 Ivory,4,2019-09-04 23:10:00,no,product,1
429,450,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,msamin87,and it comes with a pump! however didnt get the free gifts though i was the first few to buy the deal., 115 Ivory,4,2019-09-04 23:10:00,no,kiv,
430,451,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,kaiwen_,"fast delivery, happy with product", 220 Natural Beige,5,2019-09-13 11:28:00,yes,kiv,
431,452,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,kaiwen_,love the new pumps as well, 220 Natural Beige,5,2019-09-13 11:28:00,yes,product,1
432,453,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,shiqin15,delivery only took 2 days!! so excited to hear they added the pump! buying to stock up! thanks maybelline!, 120 Classic Ivory,5,2019-09-07 17:53:00,no,kiv,
433,454,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,nurullyzati,thank you for giving the 3 eye+ lip make up remover!! will purchase from the store again ðÿ’“, 310 Sun Beige,5,2019-09-09 12:38:00,no,kiv,1
434,455,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,sophie5032,love it! finally with a pump and glad that i got the 3 free bottles of make up remover! thank youâ¤, 128 Warm Nude,5,2019-09-02 16:32:00,no,kiv,1
435,456,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,erin_guo37,item came sealed with 3 travel sized make up remover, 222 True Beige,5,2019-09-09 23:04:00,no,"kiv
",
436,457,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,erin_guo37,good buy!, 222 True Beige,5,2019-09-09 23:04:00,no,product,1
437,458,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,linglinglee,fast delivery and item is goooooood, 235 Pure Beige,5,2019-09-15 22:53:00,yes,delivery,1
438,459,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,peachwritten,haven't tried yet but product came very fast (less than 2 days) and safely delivered in bubble wrap :-), 130 Buff Beige,5,2019-09-04 13:25:00,no,kiv,
439,460,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,wangjun11281,"my favourite liquid foundation, now with pump!", 120 Classic Ivory,5,2019-09-04 20:35:00,no,product,1
440,461,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,nadirah_khalid,so glad this amazing foundation finally comes with a pump, 130 Buff Beige,5,2019-09-04 23:39:00,no,product,1
441,462,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,nadirah_khalid,very efficient service from seller, 130 Buff Beige,5,2019-09-04 23:39:00,no,kiv,
442,463,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,nadirah_khalid,highly recommended!, 130 Buff Beige,5,2019-09-04 23:39:00,no,product,1
443,464,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,katetsui,ahbdjdndkdkmsklxldmnsnnandmxkxlmajjjckxoskandjcifkjfjfnfjodkfkk, 230 Natural Buff,5,2019-09-02 15:31:00,no,kiv,
444,465,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,misharkey,omg i love it especially in the pump form!!, 220 Natural Beige,5,2019-08-19 22:45:00,no,product,1
445,466,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,wickedscarlet,where is the free make up remover, 115 Ivory,4,2019-09-13 09:45:00,no,"kiv
",-1
446,467,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,kaisinchew,item received in good condition, 220 Natural Beige,5,2019-09-16 07:51:00,yes,delivery,1
447,468,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,deelala,super fast delivery ðÿ‘ðÿ¼, 128 Warm Nude,5,2019-09-13 15:01:00,yes,delivery,1
448,469,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,valentiateo,"the photos that were shown are exact to the real life one, fast delivery", 310 Sun Beige,5,2019-08-22 13:25:00,no,kiv,1
449,470,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,alfaapple,received in a good condition as the bottle is wrapped in a bubble wrap, 222 True Beige,5,2019-09-06 19:06:00,no,delivery,1
450,471,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,rindapkj,"can i just say the pump is amazing!!
 i have the one without the pump but this is much more convenient", 115 Ivory,5,2019-09-06 11:27:00,no,kiv,1
451,472,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,farahilhum,"order took a week to arrive, satisfied with purchase", 128 Warm Nude,5,2019-09-09 17:06:00,no,kiv,
452,473,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,aineeanggraii,thanks ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜˜, 220 Natural Beige,5,2019-09-19 15:07:00,no,kiv,
453,474,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,masmarkso,return customer ðÿ‘, 235 Pure Beige,5,2019-09-16 21:50:00,no,product,1
454,475,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,sharxlim,yay love the pump, 220 Natural Beige,5,2019-09-12 16:38:00,no,product,1
455,476,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,hisdancer,items were well received and well wrapped, 228 Soft Tan,5,2019-09-10 21:31:00,no,delivery,1
456,477,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,hisdancer,will definitely purchase again, 228 Soft Tan,5,2019-09-10 21:31:00,no,product,1
457,478,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,huangyutingg,fast delivery! ordered on wednesday and received it on friday, 120 Classic Ivory,5,2019-09-10 12:56:00,no,kiv,1
458,479,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,rubywmw87,items well packaged and fast delivery within 2 days, 220 Natural Beige,5,2019-08-31 16:09:00,no,"delivery
",1
460,481,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,tiffanychin12345,very very fast shipping, 220 Natural Beige,5,2019-09-05 20:02:00,no,delivery,1
461,482,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,tiffanychin12345,"cheaper then retail store, buy it.", 220 Natural Beige,5,2019-09-05 20:02:00,no,product,1
462,483,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,doreenlim05,item receive in good condition., 115 Ivory,5,2019-09-09 19:09:00,no,delivery,1
464,485,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,stationeryempire,very fast delivery ðÿ‘, 120 Classic Ivory,5,2019-08-26 13:06:00,no,delivery,1
465,486,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,wendytan128,it is exactly as described, 310 Sun Beige,5,2019-08-29 22:39:00,no,product,0
466,487,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,wendytan128,have been using this for some time, 310 Sun Beige,5,2019-08-29 22:39:00,no,product,1
467,488,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,fishcubes,fast delivery and in good condition, 120 Classic Ivory,5,2019-09-04 22:27:00,no,delivery,1
468,489,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,fishcubes,did not get the makeup remover, 120 Classic Ivory,5,2019-09-04 22:27:00,no,product,-1
469,490,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,dolshqis,fast delivery, 220 Natural Beige,5,2019-08-29 14:15:00,no,delivery,1
470,491,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,dolshqis,exact shade, 220 Natural Beige,5,2019-08-29 14:15:00,no,product,1
472,493,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,ah2608,fast delivery, 220 Natural Beige,5,2019-08-20 11:39:00,no,delivery,1
473,494,Maybelline,Face,Maybelline Fit Me Matte+Poreless Foundation with Pump,15.92,ah2608,"product was well packaged, items received in good condition", 220 Natural Beige,5,2019-08-20 11:39:00,no,delivery,1
478,709,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,analiseng,bought two during promotion, VERSATILE,5,2020-01-08 10:11:00,no,product,1
479,710,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,analiseng,loving the durability and colours!, VERSATILE,5,2020-01-08 10:11:00,no,product,1
480,711,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,ellarahmatmarican,repeated purchase from this seller, SEEKER,5,2019-12-24 08:36:00,no,product,1
481,712,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,ellarahmatmarican,came on time and fast delivery!, SEEKER,5,2019-12-24 08:36:00,no,delivery,1
482,713,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,heavensmecredi,"so happy with this purchase during the flash sale!! bought 3 of my fav colour delicate, limited to 3pcs due to its popularity.", DELICATE,5,2019-12-19 21:20:00,no,kiv,1
483,714,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,heavensmecredi,"delivered very fast in 1 working day! bought a few times from them, direct seller from lâ€™orã©al company.", DELICATE,5,2019-12-19 21:20:00,no,kiv,1
484,715,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,msxrah,"item well received, very fast delivery!!", SEEKER,5,2019-12-24 17:49:00,no,delivery,1
485,716,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,benetti,received! long delivery but the product is good, SELFSTARTER 130,5,2019-12-19 12:57:00,no,kiv,
486,717,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,benetti,will buy again, SELFSTARTER 130,5,2019-12-19 12:57:00,no,product,1
487,718,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,sab13,bought as gift for friends but have tried a colour from this range before and itâ€™s quite long lasting, AMBITIOUS,5,2019-12-15 10:32:00,no,kiv,1
488,719,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,pamela070691,nicely packaged well protected, ARTIST 120,5,2019-12-04 20:45:00,no,delivery,1
489,720,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,pamela070691,timely delivery, ARTIST 120,5,2019-12-04 20:45:00,no,delivery,1
492,723,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,anrahman86,well received the product, INSPIRER 125,5,2019-12-04 00:41:00,no,delivery,1
493,724,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,anrahman86,really cheap when promotion, INSPIRER 125,5,2019-12-04 00:41:00,no,kiv,1
495,726,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,mysecretempire,nice colour but doesnâ€™t stay at all.., DELICATE,5,2019-12-01 23:58:00,no,product,0
496,727,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,mysecretempire,disappointed, DELICATE,5,2019-12-01 23:58:00,no,product,-1
497,728,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,wei_lingggg,delivery took awhile (ordered during 11/11), SEEKER,5,2019-11-23 14:04:00,no,delivery,-1
498,729,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,wei_lingggg,item received in good condition and even came with 2 free makeup removers! thank you seller :), SEEKER,5,2019-11-23 14:04:00,no,kiv,1
499,730,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jseah,tried on hand, INSPIRER 125,5,2019-11-22 21:54:00,no,product,0
500,731,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jseah,colour stayed on very well despite washing, INSPIRER 125,5,2019-11-22 21:54:00,no,product,1
502,733,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jomalvarezz,got what i ordered and it came with a free make up remover, SEEKER,5,2019-11-22 19:40:00,no,product,1
503,734,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jomalvarezz,but itâ€™s pretty disappointing because it took 11 days before the item was delivered to me, SEEKER,5,2019-11-22 19:40:00,no,delivery,-1
504,735,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,govinda1985,i love it ðÿ¥°, SELFSTARTER 130,5,2019-11-22 19:22:00,no,product,1
505,736,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,mjdjap,thicker than expected but does what is advertised and does not transfer, GROUNDBREAKER 117,5,2019-11-21 09:57:00,no,product,0
506,737,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,mjdjap,lovely colour, GROUNDBREAKER 117,5,2019-11-21 09:57:00,no,product,1
507,738,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,mjdjap,bright and vibrant red., GROUNDBREAKER 117,5,2019-11-21 09:57:00,no,product,1
509,740,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,wanstone,love all this shade <3 and it really doesnâ€™t transfer but have to wait a while after application as it doesnâ€™t dry very fast, VERSATILE,5,2019-11-15 11:13:00,no,kiv,1
510,741,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,xwennnhui,in love with the colours! and maybelline's kind and generous gesture of including 4 free makeup removers in my package is greatly appreciated! â˜ºâ˜º, GLOBETROTER 135,5,2019-11-04 18:49:00,no,kiv,1
511,742,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jmineladkjl,"this is my favourite lipstick alr , feels lightweight yet does not goes off easily and does not really stain cup", DELICATE,5,2019-11-04 15:09:00,no,kiv,1
513,744,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,janyuen,"this listick is very pigmented , and i did not need to re-apply, good for night out.
 have to remove with maybelline makeup remover.", FOUNDER 115,5,2019-11-04 15:29:00,no,kiv,1
521,752,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,heavensmecredi,always buy during a sale at a good price :) very happy with my purchase.., DELICATE,5,2019-10-29 12:53:00,no,product,1
522,753,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,belindaaatan,fast delivery! ordered on the 29oct and received on 2nov! :), SELFSTARTER 130,5,2019-11-02 14:34:00,no,delivery,1
523,754,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jerinewong,delivery was fast, ARTIST 120,5,2019-11-02 16:40:00,no,delivery,1
524,755,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jerinewong,competitive price and the freebies came on the promotional day, ARTIST 120,5,2019-11-02 16:40:00,no,product,1
525,756,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,jerinewong,worth the purchase, ARTIST 120,5,2019-11-02 16:40:00,no,product,1
526,757,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,qandscorner,product is good as we know, FOUNDER 115,1,2019-11-07 07:33:00,no,product,1
529,760,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,thecoed,very value for money and love the colour of the lipstick, VERSATILE,5,2019-11-02 15:18:00,no,kiv,1
530,761,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,thecoed,item took about 3-4 days., VERSATILE,5,2019-11-02 15:18:00,no,delivery,0
531,762,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,acupoft,"extremely long-staying and exact to colour as on swatches (i watched youtube swatches to get the exact ones) :) 
 
 lover has a more purple-ish tone while seductress, delicate, and versatile have more coral/red tones :)", VERSATILE,5,2019-10-25 12:16:00,no,kiv,1
532,763,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,nyein68,fast delivery and very well packed, INSPIRER 125,5,2019-11-04 22:36:00,no,delivery,1
533,764,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,anrahman86,received it well for my wife, ARTIST 120,5,2019-11-01 15:05:00,no,delivery,1
534,765,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,anrahman86,ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜, ARTIST 120,5,2019-11-01 15:05:00,no,kiv,
536,767,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,alxr243,received 31st oct in good condition, VERSATILE,5,2019-10-31 20:06:00,no,delivery,1
538,769,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,nabsmd,colour is true to photos, AMBITIOUS,5,2019-10-21 23:52:00,no,product,1
539,770,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,nabsmd,love love love the colour! and it stays on almost the entire day of me being out! a bit sticky at first but it gets matte as your day goes., AMBITIOUS,5,2019-10-21 23:52:00,no,kiv,1
540,771,Maybelline,Lips,Maybelline Superstay Matte Ink Lipstick City Edition,14.32,apple_may,"darker than expected but the color really seems to stay so far without transferring to my cup of water and food! promising and would repurchase for sure (more flash sales ?) , but maybe would choose a lighter shade next time lol", DELICATE,5,2019-10-11 09:24:00,no,kiv,
